epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
74,test,0.0880417451262474,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
75,train,0.08540742844343185,0.9411999583244324,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
75,test,0.08804108947515488,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
76,train,0.0854068174958229,0.9413999915122986,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
76,test,0.08804044127464294,0.935999870300293,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
77,train,0.08540619164705276,0.9395999908447266,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
77,test,0.08803984522819519,0.9309999346733093,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
78,train,0.0854056179523468,0.938800036907196,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
78,test,0.08803926408290863,0.9390000104904175,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
79,train,0.08540507405996323,0.9386000633239746,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
79,test,0.08803874254226685,0.940000057220459,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
80,train,0.08540453016757965,0.9398000240325928,0.9375,18.47117692525756,61.47887379139058,50,100,200,100,200,1,1,gru,continuous,50,42,100
80,test,0.08803825080394745,0.9369999766349792,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
81,train,0.08540406823158264,0.9392000436782837,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
81,test,0.08803778141736984,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
82,train,0.08540360629558563,0.9376000165939331,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
82,test,0.08803733438253403,0.9380000233650208,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
83,train,0.08540315926074982,0.9391999840736389,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
83,test,0.0880369246006012,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
